symbol,datetime,high,low,open,close
R_100,2022.02.04 09:19:00,7942.85,7931.33,7932.42,7938.88
R_100,2022.02.04 09:20:00,7943.57,7931.36,7938.89,7931.36
R_100,2022.02.04 09:21:00,7941.45,7931.24,7932.09,7932.27
R_100,2022.02.04 09:22:00,7934.54,7922.3,7933.98,7933.86
R_100,2022.02.04 09:23:00,7941.4,7917.09,7934.84,7917.44
R_100,2022.02.04 09:24:00,7914.1,7899.68,7914.06,7900.36
R_100,2022.02.04 09:25:00,7902.63,7889.81,7902.01,7901.01
R_100,2022.02.04 09:26:00,7912.56,7895.44,7902.99,7905.91
R_100,2022.02.04 09:27:00,7905.93,7889.45,7904.5,7896.62
R_100,2022.02.04 09:28:00,7916.85,7895.33,7895.33,7913.88
R_100,2022.02.04 09:29:00,7932.86,7910.61,7913.43,7927.07
R_100,2022.02.04 09:30:00,7932.75,7921.46,7926.74,7932.24
R_100,2022.02.04 09:31:00,7940.29,7929.64,7929.64,7938.38
R_100,2022.02.04 09:32:00,7941.28,7924.72,7933.42,7933.29
R_100,2022.02.04 09:33:00,7947.4,7932.87,7935.36,7935.97
R_100,2022.02.04 09:34:00,7935.84,7913.61,7935.83,7914.71
R_100,2022.02.04 09:35:00,7914.33,7903.68,7912.15,7910.6
R_100,2022.02.04 09:36:00,7911.75,7890.42,7911.24,7899.44
R_100,2022.02.04 09:37:00,7898.52,7882.03,7897.56,7887.49
R_100,2022.02.04 09:38:00,7895.85,7884.04,7884.04,7895.85
R_100,2022.02.04 09:39:00,7898.26,7888.43,7896.87,7890.15
R_100,2022.02.04 09:40:00,7897.83,7884.51,7890.4,7896.71
R_100,2022.02.04 09:41:00,7908.7,7894.1,7894.1,7906.52
R_100,2022.02.04 09:42:00,7914.23,7900.19,7902.41,7907.68
R_100,2022.02.04 09:43:00,7912.93,7900.76,7908.56,7909.21
R_100,2022.02.04 09:44:00,7916.25,7899.15,7905.64,7910.63
R_100,2022.02.04 09:45:00,7911.63,7903.78,7911.26,7911.01
R_100,2022.02.04 09:46:00,7911.78,7887.57,7909.99,7889.86
R_100,2022.02.04 09:47:00,7895.22,7880.52,7887.74,7895.04
R_100,2022.02.04 09:48:00,7902.77,7875.77,7895.56,7875.77
R_100,2022.02.04 09:49:00,7887.68,7876.46,7876.46,7877.41
R_100,2022.02.04 09:50:00,7885.92,7876.81,7878.42,7878.81
R_100,2022.02.04 09:51:00,7889.92,7878.02,7878.02,7889.86
R_100,2022.02.04 09:52:00,7902.05,7888.68,7892.9,7888.68
R_100,2022.02.04 09:53:00,7889.94,7880.92,7888.62,7889.23
R_100,2022.02.04 09:54:00,7889.93,7880.6,7889.93,7888.96
R_100,2022.02.04 09:55:00,7886.73,7869.72,7886.73,7869.72
R_100,2022.02.04 09:56:00,7879.03,7867.35,7869.59,7867.35
R_100,2022.02.04 09:57:00,7876.52,7865.44,7870.67,7867.22
R_100,2022.02.04 09:58:00,7870.26,7853.07,7868.77,7857.32
R_100,2022.02.04 09:59:00,7866.73,7855.35,7856.41,7861.98
R_100,2022.02.04 10:00:00,7866.66,7853.51,7861.92,7858.51
R_100,2022.02.04 10:01:00,7859.78,7848.97,7859.19,7855.23
R_100,2022.02.04 10:02:00,7868.43,7853.06,7854.88,7868.43
R_100,2022.02.04 10:03:00,7872.73,7860.92,7868.84,7864.86
R_100,2022.02.04 10:04:00,7885.5,7863.64,7867.98,7865.4
R_100,2022.02.04 10:05:00,7870.82,7858.5,7867.93,7860.34
R_100,2022.02.04 10:06:00,7861.24,7848.33,7861.24,7852.61
R_100,2022.02.04 10:07:00,7870.24,7853.79,7853.79,7864.52
R_100,2022.02.04 10:08:00,7870.95,7862.47,7862.47,7865.29
R_100,2022.02.04 10:09:00,7879.41,7855.07,7862.68,7855.07
R_100,2022.02.04 10:10:00,7871.37,7855.37,7855.37,7861.06
R_100,2022.02.04 10:11:00,7878.24,7860.84,7861.42,7873.65
R_100,2022.02.04 10:12:00,7899.89,7873.13,7873.4,7897.72
R_100,2022.02.04 10:13:00,7899.28,7886.51,7899.28,7888.88
R_100,2022.02.04 10:14:00,7891.86,7881.81,7888.12,7891.27
R_100,2022.02.04 10:15:00,7909.4,7884.83,7891.06,7900.02
R_100,2022.02.04 10:16:00,7903.59,7894.86,7898.9,7898.81
R_100,2022.02.04 10:17:00,7907.09,7892.6,7901.1,7904.05
R_100,2022.02.04 10:18:00,7908.13,7892.39,7901.81,7897.37
R_100,2022.02.04 10:19:00,7896.72,7877.26,7893.38,7877.26
R_100,2022.02.04 10:20:00,7882.82,7869.56,7875.41,7872.99
R_100,2022.02.04 10:21:00,7877.77,7859.73,7873.91,7867.35
R_100,2022.02.04 10:22:00,7882.89,7863.84,7863.84,7878.13
R_100,2022.02.04 10:23:00,7875.56,7863.89,7875.56,7867.21
R_100,2022.02.04 10:24:00,7872.39,7857.42,7871.26,7859.65
R_100,2022.02.04 10:25:00,7864.91,7844.87,7860.08,7847.74
R_100,2022.02.04 10:26:00,7854.37,7846,7846.2,7846.22
R_100,2022.02.04 10:27:00,7857.12,7840.81,7843.63,7851.35
R_100,2022.02.04 10:28:00,7853.58,7842.24,7851.88,7852.79
R_100,2022.02.04 10:29:00,7852.58,7836.43,7850.74,7851.59
R_100,2022.02.04 10:30:00,7866.13,7847.99,7847.99,7866.13
R_100,2022.02.04 10:31:00,7872.92,7860.26,7864.96,7860.39
R_100,2022.02.04 10:32:00,7876.33,7861.09,7861.09,7875.21
R_100,2022.02.04 10:33:00,7902.14,7872.4,7876.97,7893.52
R_100,2022.02.04 10:34:00,7919.16,7897.97,7897.97,7913.39
R_100,2022.02.04 10:35:00,7941.39,7914.87,7914.87,7941.39
R_100,2022.02.04 10:36:00,7942.02,7929.54,7941.93,7929.54
R_100,2022.02.04 10:37:00,7935.33,7927.01,7930.64,7927.01
R_100,2022.02.04 10:38:00,7945.21,7926.86,7926.86,7944.23
R_100,2022.02.04 10:39:00,7944.51,7928.01,7944.25,7928.01
R_100,2022.02.04 10:40:00,7935.46,7923.81,7926.36,7923.81
R_100,2022.02.04 10:41:00,7922.19,7913.72,7922.19,7918.02
R_100,2022.02.04 10:42:00,7918.83,7908.41,7914.99,7916.52
R_100,2022.02.04 10:43:00,7916.44,7903.34,7914.35,7916.44
R_100,2022.02.04 10:44:00,7922.64,7905.55,7918.04,7905.63
R_100,2022.02.04 10:45:00,7908.82,7896.89,7903.52,7906.81
R_100,2022.02.04 10:46:00,7902.2,7882.69,7902.2,7891.31
R_100,2022.02.04 10:47:00,7903.96,7893.2,7893.88,7900.53
R_100,2022.02.04 10:48:00,7901.9,7888.71,7899.41,7889.8
R_100,2022.02.04 10:49:00,7896.98,7889.61,7891.9,7891.33
R_100,2022.02.04 10:50:00,7902.14,7894.94,7895.6,7895.72
R_100,2022.02.04 10:51:00,7905.93,7891.37,7899.48,7905.93
R_100,2022.02.04 10:52:00,7906.6,7889,7904.13,7893.77
R_100,2022.02.04 10:53:00,7899.32,7890.21,7896.52,7890.21
R_100,2022.02.04 10:54:00,7912.51,7890.7,7890.7,7912.51
R_100,2022.02.04 10:55:00,7915.92,7905.68,7915.92,7905.68
R_100,2022.02.04 10:56:00,7904.14,7895.66,7902.52,7900.23
R_100,2022.02.04 10:57:00,7904.08,7889.96,7904.08,7899.83
R_100,2022.02.04 10:58:00,7917.85,7898.22,7899.42,7917.85
R_100,2022.02.04 10:59:00,7921.45,7911.57,7917.77,7918.03
R_100,2022.02.04 11:00:00,7918.32,7908.94,7912.95,7910.04
R_100,2022.02.04 11:01:00,7910.15,7898.9,7905,7901.27
R_100,2022.02.04 11:02:00,7903.51,7888.17,7899.63,7892.21
R_100,2022.02.04 11:03:00,7896.88,7887.52,7894.33,7895.68
R_100,2022.02.04 11:04:00,7904.52,7890.5,7899.24,7902.26
R_100,2022.02.04 11:05:00,7920.31,7900.62,7901.66,7920.31
R_100,2022.02.04 11:06:00,7924.59,7915.86,7922.23,7921.49
R_100,2022.02.04 11:07:00,7932.31,7923.87,7923.87,7924.61
R_100,2022.02.04 11:08:00,7928.63,7913.97,7922.09,7928.63
